savings Acc balance,monthly hou expense,g,s,p,liability ref,Time with bank,bank account,other invest,mean time with employer,v,h,bb,ff,j,z,o,dd,n,w,q,m,r,cc,k,c,d,x,i,e,aa,ff,j,marital status,u,y,l,mean time at add,age,gender,target
0.0,5.313205979041787,1.0,0.0,0.0,0,0.6931471805599453,1,1,0.8109302162163288,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,0.0,1.0,0.0,0.0,3.428488241898059,1,1
6.329720905522696,3.784189633918261,1.0,0.0,0.0,0,1.9459101490553132,1,1,1.3962446919730587,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0.0,1.0,0.0,1.6974487897568136,4.071928522937768,0,1
6.715383386334681,5.638354669333745,1.0,0.0,0.0,0,0.0,0,1,0.9162907318741551,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0.0,1.0,0.0,0.4054651081081644,3.1986731175506815,0,1
1.3862943611198906,4.61512051684126,1.0,0.0,0.0,1,1.791759469228055,1,1,1.55814461804655,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,0.0,1.0,0.0,0.9321640810304452,3.326114575537799,1,1
0.0,4.795790545596741,0.0,0.0,1.0,0,0.0,0,1,0.9969486348916096,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,0.0,1.0,0.0,1.890850371872286,3.0041963519661206,1,1
0.0,5.8888779583328805,1.0,0.0,0.0,1,0.0,0,1,1.252762968495368,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,0.0,1.0,0.0,1.6094379124341003,3.4682327829983137,1,1
10.350925992121715,5.10594547390058,1.0,0.0,0.0,1,0.0,0,1,2.0149030205422647,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0.0,1.0,0.0,0.712949807856125,3.501645852958961,1,1
7.2078598714324755,4.394449154672439,1.0,0.0,0.0,0,0.0,0,1,0.03922071315328133,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,1.0,0.0,2.532505628587279,3.132009891846539,0,1
5.752572638825633,5.198497031265826,1.0,0.0,0.0,0,0.0,0,1,1.601405740736836,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0,1.0,0.4054651081081644,3.9967317333551002,1,1
7.274479558773871,3.970291913552122,1.0,0.0,0.0,1,0.0,0,1,1.426716275618806,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2,0.0,0.0,1.0,1.7774914974303502,3.7495040759303713,1,1
0.0,4.859812404361672,1.0,0.0,0.0,1,0.0,0,0,1.1521530555961395,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,1.0,0.0,0.6043159668533296,3.0946722214088944,1,1
5.303304908059076,5.564520407322694,1.0,0.0,0.0,0,0.0,0,1,1.6742888847537167,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,1.0,0.0,1.0420419371797154,3.3985271531062766,1,1
0.0,0.0,1.0,0.0,0.0,1,0.0,0,1,0.6931471805599453,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0.0,1.0,0.0,1.9459101490553132,3.644143560272545,0,1
7.897668150726906,0.0,1.0,0.0,0.0,0,0.0,0,0,0.03922071315328133,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0.0,1.0,0.0,1.951608170169951,3.872866290226952,1,1
0.0,0.0,1.0,0.0,0.0,1,2.0794415416798357,1,1,1.791759469228055,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0.0,1.0,0.0,2.4423470353692043,3.8249388985210326,0,1
0.0,5.771441123130016,1.0,0.0,0.0,1,2.3978952727983707,1,1,0.22314355131420976,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0,1.0,1.689172880452954,3.6019589820832345,1,1
0.0,5.983936280687191,1.0,0.0,0.0,1,1.3862943611198906,1,1,0.6729444732424258,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,0.0,1.0,0.0,0.6286086594223741,3.34109345759245,1,1
5.5053315359323625,4.795790545596741,1.0,0.0,0.0,0,2.3978952727983707,1,1,1.4279160358107101,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0.0,1.0,0.0,1.927891643552635,3.1463051320333655,0,1
0.0,0.0,1.0,0.0,0.0,1,0.0,0,1,0.5098251234324072,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,1.0,0.0,0.22314355131420976,3.0832851705618523,1,1
0.0,4.574710978503383,1.0,0.0,0.0,0,2.0794415416798357,1,1,0.5596157879354227,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,1.0,0.0,2.260199376497608,2.9533465570575532,0,1
